review_count,rating,price,categories,is_closed
178,4.5,3,sushi,0
649,4.0,2,pizza,0
1770,4.0,2,japanese,0
443,4.5,1,thai,0
503,4.5,2,pizza,0
449,4.5,2,chicken_wings,0
209,4.5,2,coffee,0
2062,4.0,3,italian,0
166,4.5,2,wine_bars,0
99,4.5,1,coffee,0
1166,4.0,2,seafood,0
800,4.0,2,vietnamese,0
317,4.5,2,turkish,0
868,4.0,2,italian,0
704,4.0,2,caribbean,0
691,4.0,2,italian,0
297,4.5,3,italian,0
171,4.5,2,coffee,0
633,4.0,1,sandwiches,0
184,4.5,3,peruvian,0
124,4.5,2,delis,0
511,4.5,2,pizza,0
128,4.5,3,french,0
9998,4.0,2,ramen,0
879,4.0,2,tapas,0
826,4.0,3,seafood,0
513,4.5,2,cajun,0
156,4.5,2,newamerican,0
677,4.0,2,italian,0
2570,4.0,4,steak,0
450,4.5,2,sushi,0
204,4.5,2,greek,0
456,4.5,3,korean,0
602,4.0,2,vietnamese,0
376,4.5,3,italian,0
333,4.5,2,brazilian,0
244,4.5,3,mediterranean,0
72,4.5,1,pizza,0
115,4.5,1,venezuelan,0
101,4.5,2,desserts,0
154,4.5,2,italian,0
541,4.5,1,pizza,0
323,4.5,2,italian,0
150,4.5,1,cantonese,0
260,4.5,2,delis,0
498,4.5,2,mediterranean,0
231,4.5,1,bakeries,0
212,4.5,2,cuban,0
246,4.5,2,salad,0
98,4.5,3,greek,0
400,4.5,2,mexican,0
98,4.5,2,coffee,0
58,4.5,2,polish,0
450,4.5,2,delis,0
419,4.5,2,ramen,0
147,4.5,1,african,0
2549,4.0,2,thai,0
289,4.5,3,italian,0
843,4.0,2,sushi,0
258,4.5,2,newmexican,0
160,4.5,1,dominican,0
61,4.5,2,mexican,0
904,4.0,2,wine_bars,0
357,4.5,2,japanese,0
387,4.5,2,german,0
462,4.5,2,chicken_wings,0
234,4.5,2,newamerican,0
714,4.0,4,steak,0
148,4.5,1,mideastern,0
92,4.5,2,cocktailbars,0
406,4.5,2,newamerican,0
482,4.5,2,italian,0
308,4.5,2,spanish,0
136,4.5,2,newamerican,0
140,4.5,4,french,0
64,4.5,1,mexican,0
53,4.5,2,vegetarian,0
459,4.5,2,japanese,0
266,4.5,2,salad,0
282,4.5,2,mediterranean,0
89,4.5,1,cafes,0
149,4.5,2,coffeeroasteries,0
166,4.5,2,bars,0
133,4.5,2,japanese,0
137,4.5,2,sushi,0
48,5.0,2,seafood,0
114,4.5,1,pizza,0
370,4.5,2,moroccan,0
1007,4.0,2,bagels,0
691,4.0,2,thai,0
56,4.5,1,burmese,0
83,4.5,1,italian,0
1458,4.0,2,italian,0
275,4.5,1,bakeries,0
126,4.5,2,poke,0
1979,4.0,2,korean,0
34,5.0,2,portuguese,0
309,4.5,2,creperies,0
1354,4.0,3,japanese,0
345,4.5,4,japanese,0
104,4.5,2,poke,0
104,4.5,2,mexican,0
1409,4.0,2,pizza,0
1924,4.0,3,italian,0
206,4.5,2,modern_european,0
143,4.5,2,italian,0
192,4.5,1,cafes,0
242,4.5,2,mexican,0
392,4.5,3,italian,0
222,4.5,2,vietnamese,0
212,4.5,1,greek,0
645,4.0,2,latin,0
2496,4.0,2,newamerican,0
120,4.5,1,srilankan,0
666,4.0,2,food_court,0
1116,4.0,1,pizza,0
124,4.5,2,chickenshop,0
214,4.5,1,grocery,0
145,4.5,1,gluten_free,0
172,4.5,1,burgers,0
78,4.5,2,burgers,0
129,4.5,2,italian,0
1007,4.0,3,cuban,0
701,4.0,2,sushi,0
202,4.5,1,cuban,0
138,4.5,1,pizza,0
638,4.0,2,seafood,0
405,4.5,1,bakeries,0
266,4.5,1,pizza,0
244,4.5,2,french,0
103,4.5,2,butcher,0
103,4.5,1,japanese,0
165,4.5,2,french,0
2121,4.0,3,japanese,0
161,4.5,2,newamerican,0
291,4.5,1,bubbletea,0
297,4.5,2,cajun,0
131,4.5,2,sushi,0
